assetId,path,disposition,expectedGuid,referenceKey
hero.clickington.attack.frame_03,Assets/ClickDungeon/Art/Runtime/anim_clickington_attack_03.png,CREATE,,approved-reference:hero.clickington.attack
hero.clickington.attack.frame_04,Assets/ClickDungeon/Art/Runtime/anim_clickington_attack_04.png,CREATE,,approved-reference:hero.clickington.attack
hero.clickington.attack.frame_05,Assets/ClickDungeon/Art/Runtime/anim_clickington_attack_05.png,CREATE,,approved-reference:hero.clickington.attack
monster.mimic_chest.reveal.frame_01,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_reveal_01.png,CREATE,,approved-reference:monster.mimic_chest.reveal
monster.mimic_chest.reveal.frame_02,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_reveal_02.png,CREATE,,approved-reference:monster.mimic_chest.reveal
monster.mimic_chest.reveal.frame_03,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_reveal_03.png,CREATE,,approved-reference:monster.mimic_chest.reveal
monster.mimic_chest.reveal.frame_04,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_reveal_04.png,CREATE,,approved-reference:monster.mimic_chest.reveal
monster.mimic_chest.reveal.frame_05,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_reveal_05.png,CREATE,,approved-reference:monster.mimic_chest.reveal
monster.mimic_chest.reveal.frame_06,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_reveal_06.png,CREATE,,approved-reference:monster.mimic_chest.reveal
monster.mimic_chest.bite.frame_01,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_bite_01.png,CREATE,,approved-reference:monster.mimic_chest.bite
monster.mimic_chest.bite.frame_02,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_bite_02.png,CREATE,,approved-reference:monster.mimic_chest.bite
monster.mimic_chest.bite.frame_03,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_bite_03.png,CREATE,,approved-reference:monster.mimic_chest.bite
monster.mimic_chest.bite.frame_04,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_bite_04.png,CREATE,,approved-reference:monster.mimic_chest.bite
monster.mimic_chest.bite.frame_05,Assets/ClickDungeon/Art/Runtime/anim_mimic_chest_bite_05.png,CREATE,,approved-reference:monster.mimic_chest.bite
boss.lord_blobert.attack.frame_01,Assets/ClickDungeon/Art/Runtime/anim_lord_blobert_attack_01.png,CREATE,,approved-reference:boss.lord_blobert.attack
boss.lord_blobert.attack.frame_02,Assets/ClickDungeon/Art/Runtime/anim_lord_blobert_attack_02.png,CREATE,,approved-reference:boss.lord_blobert.attack
boss.lord_blobert.attack.frame_03,Assets/ClickDungeon/Art/Runtime/anim_lord_blobert_attack_03.png,CREATE,,approved-reference:boss.lord_blobert.attack
boss.lord_blobert.attack.frame_04,Assets/ClickDungeon/Art/Runtime/anim_lord_blobert_attack_04.png,CREATE,,approved-reference:boss.lord_blobert.attack
boss.lord_blobert.attack.frame_05,Assets/ClickDungeon/Art/Runtime/anim_lord_blobert_attack_05.png,CREATE,,approved-reference:boss.lord_blobert.attack
boss.lord_blobert.attack.frame_06,Assets/ClickDungeon/Art/Runtime/anim_lord_blobert_attack_06.png,CREATE,,approved-reference:boss.lord_blobert.attack
